đã: [4.86764644930492E-08;14] = 0.000140048675977728
đang: [9.11214855069788E-08;11.76] = 0.000117691120574292
nhưng: [6.60712541691151E-08;11] = 0.000110066070593457
đến: [5.10590875254168E-08;11] = 0.000110051058576935
đồng: [7.61068543039936E-08;14] = 0.000140076106093235
sừng: [4.307411422119E-08;11.17] = 0.00011174307368348
ông: [3.30555796529514E-08;11] = 0.000110033055249097
ngưng: [2.50649311227825E-08;13] = 0.000130025064680473
đèn: [1.90484768264839E-08;11] = 0.000110019048286342
đứng: [3.60872402578819E-08;14] = 0.000140036086879386
ngà: [2.40417794422699E-08;11] = 0.000110024041539024
gắn: [1.90331813488562E-08;11] = 0.000110019032991017
giống: [2.80692834032516E-08;11] = 0.00011002806900271

**********************************************************************
lịch: [1.17156770742634E-07;13] = 0.000130117155599175
chim: [7.91064421902955E-08;13] = 0.000130079105651126
chần: [2.90399110420717E-08;13] = 0.000130029039620643
tách: [4.36581579609548E-07;13] = 0.000130436577213794
thực: [1.06141265972893E-07;13] = 0.00013010614020456
học: [1.49198629224129E-07;12] = 0.000120149197137238
chật: [9.51277406754753E-08;13] = 0.000130095126789398
chát: [3.80518892845578E-08;13] = 0.000130038051508766
khác: [5.70766046878664E-08;13] = 0.000130057076033922
ích: [5.50744344192576E-08;12] = 0.000120055073883675
lạch: [5.40731833686457E-08;13] = 0.000130054072642637
việc: [1.07141972242157E-07;11] = 0.000110107140900822
chào: [1.91255441223322E-07;13] = 0.000130191253528669
chừ: [1.01135738890015E-07;12] = 0.000120101134727533
chấn: [6.90930623455094E-08;13] = 0.000130069092371415
chui: [7.30984668780823E-08;13] = 0.000130073097735893
kích: [3.30451218719661E-08;13] = 0.000130033044791421
sách: [4.30581320679872E-08;13] = 0.000130043057701487
chợt: [8.31117758505355E-08;13] = 0.000130083110944733
phục: [2.10288949845232E-08;13] = 0.000130021028684696
chớ: [1.07143724713403E-07;12] = 0.000120107142653276
chụp: [5.70771181454739E-08;13] = 0.000130057076547374
phức: [4.30584993225706E-08;13] = 0.000130043058068738
chỗ: [5.207041240978E-08;12] = 0.000120052069891706
rịch: [2.40332566423024E-08;13] = 0.00013002403301631
chắc: [7.10956324520963E-08;13] = 0.000130071094921496
thức: [4.00540802597005E-08;13] = 0.000130040053679719
chưa: [6.50870939151242E-08;13] = 0.000130065086443044
xách: [4.10558639685395E-08;13] = 0.00013004105545341
hiệu: [6.40859583277971E-08;11] = 0.000110064085317468
chỉ: [3.40448406272017E-08;12] = 0.000120034044500179
chót: [3.70505537673924E-08;13] = 0.000130037050183262
chế: [3.10421681500534E-08;12] = 0.000120031041857728
dịch: [3.70499435695909E-08;13] = 0.00013003704957307
chôm: [1.80252720775481E-08;13] = 0.000130018025091825
chác: [2.6035920480767E-08;13] = 0.000130026035660122
chọn: [1.80249822691536E-08;13] = 0.000130018024802019
khóc: [2.50345566091095E-08;13] = 0.000130025034306264
nhạc: [1.80250719824633E-08;13] = 0.000130018024891732

**********************************************************************
vang: [6.69722034059228E-07;11] = 0.000110669715336839
nghệ: [8.44620040866732E-05;15] = 0.000234461159466632
nhập: [1.57749655039546E-06;11] = 0.00011157748077543
nâng: [4.4881617319533E-05;11] = 0.00015488116850336
ngôi: [6.04351495302579E-07;11] = 0.000110604345451788
điện: [2.45787295808596E-06;11] = 0.000112457848379356
nhân: [2.86849408273428E-05;11] = 0.000138684653977935
cộng: [7.31893188319543E-06;11] = 0.000117318858693877
bình: [6.33433863545276E-07;11] = 0.000110633427529207
nhận: [1.34983382699402E-05;11] = 0.000123498203286557
năng: [2.05605654479168E-06;11] = 0.000112056035984226
tăng: [1.56603345556528E-05;11] = 0.000125660177952307
đỉnh: [7.61966098387886E-06;11] = 0.000117619584787269
song: [3.04874996505859E-07;11] = 0.000110304871947756
nghiệp: [6.14636986215549E-05;11] = 0.000171463083984569
tính: [5.67321036952008E-07;11] = 0.000110567315363742
đang: [1.89064783721018E-06;11] = 0.000111890628930732
hàng: [1.80580183063932E-06;13] = 0.000131805783772621
công: [4.27420656856907E-06;11] = 0.000114274163826503
lòng: [1.29314662885926E-07;11] = 0.000110129313369739
tầng: [9.82825735376082E-07;11] = 0.000110982815907119
bằng: [8.76134553203835E-06;11] = 0.000118761257918583
tình: [7.70928855883814E-07;11] = 0.000110770921146595
nhất: [3.37014095246014E-06;11] = 0.000113370107251051
đồng: [1.62878707624329E-06;11] = 0.000111628770788373
hạng: [1.29393573667047E-06;13] = 0.000131293922797313
chọn: [2.2452506709528E-07;11] = 0.000110224522821845
cũng: [3.38440167578354E-06;11] = 0.000113384367831767
sinh: [9.33708434622426E-07;11] = 0.000110933699097538
cung: [2.21202219700213E-07;11] = 0.000110221200007678
càng: [2.20289814036306E-06;11] = 0.000112202876111382
phần: [1.55392593703426E-06;11] = 0.000111553910397775
đúng: [3.50855601028312E-07;11] = 0.000110350852092472
ngày: [2.64626434169416E-06;11] = 0.000112646237879051
động: [1.3113932209095E-06;11] = 0.000111311380106977
vong: [3.22838534919884E-07;11] = 0.000110322835306535
dụng: [2.67831756590828E-06;11] = 0.000112678290782733
hùng: [1.88923687209339E-07;13] = 0.000130188921797972
tỉnh: [1.00758872773246E-06;11] = 0.000111007578651845
nhằm: [1.1185334763877E-06;11] = 0.000111118522291053
dâng: [2.61284362537483E-06;11] = 0.000112612817496939
đăng: [1.02959635317269E-07;11] = 0.000110102958605721
ngưỡng: [2.5566019568362E-07;11] = 0.000110255657639082
vọng: [1.89454415950237E-07;11] = 0.000110189452521406
minh: [2.39838180162048E-06;11] = 0.000112398357817802
ngay: [1.14852075278233E-06;11] = 0.000111148509267575
từng: [2.27907065796579E-07;11] = 0.000110227904786726
thần: [9.94774882262702E-07;11] = 0.000110994764934514
đảng: [4.98793624830211E-07;11] = 0.000110498788636894
hoàn: [4.16827697198638E-07;11] = 0.000110416823528922
đánh: [2.4090156495333E-07;11] = 0.000110240899155938
đáng: [5.31779654405966E-07;11] = 0.000110531774336609
vinh: [6.85312744698109E-06;11] = 0.000116853058915707
hiện: [1.85677023569099E-06;13] = 0.000131856751667989
sáng: [5.14112871225145E-07;11] = 0.000110514107730096
nguồn: [1.75928892572854E-07;10.59] = 0.000106075927133284
vùng: [2.07790967018594E-06;11] = 0.000112077888891089
dùng: [3.21386059595485E-07;11] = 0.000110321382845735
kinh: [4.66806127660441E-07;11] = 0.000110466801459599
dáng: [1.55399845048383E-07;11] = 0.00011015539829105
nhảy: [2.1956654196842E-07;11] = 0.000110219564346303
lãnh: [1.83925658752249E-07;11] = 0.000110183923819496
đứng: [2.69345316775677E-07;11] = 0.000110269342623323
nông: [9.53602700811778E-07;11] = 0.000110953593164785
nặng: [1.62405630103579E-07;11] = 0.000110162404006047
thôn: [3.26829888742987E-07;11] = 0.000110326826620444
nghiên: [2.17911435733918E-07;11] = 0.00011021790925662
vàng: [5.42598267958647E-07;11] = 0.000110542592841976
binh: [7.75677525778856E-07;11] = 0.000110775669769004
phân: [1.59935653292005E-07;11] = 0.000110159934053935
diện: [1.322983451436E-07;11] = 0.00011013229702216
hành: [3.64345271529406E-07;11] = 0.000110364341628077
danh: [4.64807748227129E-07;11] = 0.00011046480310015
mạnh: [6.55727424536424E-07;11] = 0.000110655720867262
mang: [3.46857159257903E-07;11] = 0.000110346853690686
ngân: [2.91879998453926E-07;11] = 0.000110291877079654
tổng: [8.62640431991842E-07;11] = 0.000110862631805588
bệnh: [5.34866603469151E-07;13] = 0.000130534861254803
đông: [1.94920920068323E-07;11] = 0.000110194918970859
hình: [6.59822606217336E-07;11] = 0.000110659816007991
dựng: [6.23750103595202E-07;11] = 0.000110623743866094
sống: [2.04453236661423E-07;11] = 0.000110204451192129
cùng: [1.19476672880547E-06;11] = 0.000111194754781138
rộng: [2.47603868112696E-07;11] = 0.000110247601392074
hãng: [1.30947953597091E-07;13] = 0.000130130946644118
sóng: [2.29582187358485E-07;11] = 0.000110229579891537
viện: [2.04916799949244E-07;11] = 0.000110204914750781
làng: [1.07957663883837E-07;11] = 0.000110107956584307
nhật: [1.60935289012236E-07;11] = 0.000110160933679659
đóng: [3.2786525165182E-07;11] = 0.000110327861972999
rừng: [1.78457028616955E-07;11] = 0.000110178455244047
hòng: [1.15954410212841E-07;13] = 0.000130115953250669
nghề: [3.42854152058308E-07;13] = 0.000130342850723517
nhìn: [1.39944123257611E-07;11] = 0.000110139942723816
định: [5.25188279252021E-07;11] = 0.000110525183027369
cảnh: [2.61892767402491E-07;11] = 0.000110261890148475
nhau: [1.22951217717049E-07;11] = 0.000110122949988205
hiển: [1.68932159225571E-07;11] = 0.000110168930469904
mình: [2.67173819301669E-07;11] = 0.000110267171147563
nguy: [3.60851485138279E-07;11] = 0.000110360847876623
mạng: [2.58894226109672E-07;11] = 0.000110258891637167
khẩn: [1.43942618471772E-07;11] = 0.000110143941179046
nhóm: [2.08915153489028E-07;11] = 0.000110208913064338
sang: [3.52854738708637E-07;11] = 0.000110352851210161
cổng: [1.53396484297196E-07;11] = 0.000110153394950332
cống: [1.10956484571732E-07;11] = 0.000110110955375007
dũng: [1.21951813229421E-07;11] = 0.000110121950593711
xong: [3.14870897623354E-07;11] = 0.000110314867748914
gian: [2.89587901928472E-07;11] = 0.000110289585006049
dòng: [1.93478168968078E-07;11] = 0.000110193476234186
nghị: [1.07957385165549E-07;13] = 0.000130107956305592
lạng: [1.04270851076811E-07;11] = 0.000110104269808368
bánh: [1.29329432704068E-07;11] = 0.00011012932813941

**********************************************************************
hàng: [3.85740224725976E-06;11] = 0.000113857363673237
khoảng: [5.94004510734981E-07;11] = 0.00011059399857069
chuồng: [1.81307437010819E-07;11] = 0.000110181305623936
công: [4.82257648761636E-06;11] = 0.000114822528261851
hoàn: [1.54504452378235E-05;11] = 0.000125450290733371
trong: [9.1975640183509E-06;11.93] = 0.000128497472042711
cảnh: [8.88502503231911E-07;11] = 0.000110888493618207
cũng: [1.651540474626E-06;11] = 0.000111651523959221
cùng: [6.47097335272986E-07;11] = 0.0001106470908643
chung: [1.20277785491854E-07;12] = 0.000120120276582714
cung: [1.48251305010593E-07;11] = 0.000110148249822498
hoặc: [5.04853886448879E-07;11] = 0.00011050484883791
song: [1.70424122718813E-07;11] = 0.000110170422418478
chương: [4.74803239713473E-07;11] = 0.000110474798491681
gạch: [4.66790016730959E-07;11] = 0.000110466785348831
cộng: [1.05255711347014E-07;11] = 0.00011010525465879
chọn: [1.25293892083126E-07;11] = 0.000110125292639144
nghĩ: [1.34325525426809E-07;11] = 0.000110134324182172

**********************************************************************

**********************************************************************

**********************************************************************
một: [2.27422650477894E-06;16] = 0.000162274203762514
bột: [1.14298310562584E-07;12] = 0.000120114297167579
mặt: [2.09413704068772E-07;14] = 0.000140209411609932

**********************************************************************
hàng: [3.85740224725976E-06;11] = 0.000113857363673237
khoảng: [5.94004510734981E-07;11] = 0.00011059399857069
chuồng: [1.81307437010819E-07;11] = 0.000110181305623936
công: [4.82257648761636E-06;11] = 0.000114822528261851
hoàn: [1.54504452378235E-05;11] = 0.000125450290733371
trong: [9.1975640183509E-06;11.93] = 0.000128497472042711
cảnh: [8.88502503231911E-07;11] = 0.000110888493618207
cũng: [1.651540474626E-06;11] = 0.000111651523959221
cùng: [6.47097335272986E-07;11] = 0.0001106470908643
chung: [1.20277785491854E-07;12] = 0.000120120276582714
cung: [1.48251305010593E-07;11] = 0.000110148249822498
hoặc: [5.04853886448879E-07;11] = 0.00011050484883791
song: [1.70424122718813E-07;11] = 0.000110170422418478
chương: [4.74803239713473E-07;11] = 0.000110474798491681
gạch: [4.66790016730959E-07;11] = 0.000110466785348831
cộng: [1.05255711347014E-07;11] = 0.00011010525465879
chọn: [1.25293892083126E-07;11] = 0.000110125292639144
nghĩ: [1.34325525426809E-07;11] = 0.000110134324182172

**********************************************************************
