đã: [4.86764644930492E-08;14] = 0.000140048675977728
đang: [9.11214855069788E-08;11.76] = 0.000117691120574292
nhưng: [6.60712541691151E-08;11] = 0.000110066070593457
đến: [5.10590875254168E-08;11] = 0.000110051058576935
đồng: [7.61068543039936E-08;14] = 0.000140076106093235
sừng: [4.307411422119E-08;11.17] = 0.00011174307368348
ông: [3.30555796529514E-08;11] = 0.000110033055249097
ngưng: [2.50649311227825E-08;13] = 0.000130025064680473
đèn: [1.90484768264839E-08;11] = 0.000110019048286342
đứng: [3.60872402578819E-08;14] = 0.000140036086879386
ngà: [2.40417794422699E-08;11] = 0.000110024041539024
gắn: [1.90331813488562E-08;11] = 0.000110019032991017
giống: [2.80692834032516E-08;11] = 0.00011002806900271

**********************************************************************
lịch: [1.17156770742634E-07;13] = 0.000130117155599175
chim: [7.91064421902955E-08;13] = 0.000130079105651126
chần: [2.90399110420717E-08;13] = 0.000130029039620643
tách: [4.36581579609548E-07;13] = 0.000130436577213794
thực: [1.06141265972893E-07;13] = 0.00013010614020456
học: [1.49198629224129E-07;12] = 0.000120149197137238
chật: [9.51277406754753E-08;13] = 0.000130095126789398
chát: [3.80518892845578E-08;13] = 0.000130038051508766
khác: [5.70766046878664E-08;13] = 0.000130057076033922
ích: [5.50744344192576E-08;12] = 0.000120055073883675
lạch: [5.40731833686457E-08;13] = 0.000130054072642637
việc: [1.07141972242157E-07;11] = 0.000110107140900822
chào: [1.91255441223322E-07;13] = 0.000130191253528669
chừ: [1.01135738890015E-07;12] = 0.000120101134727533
chấn: [6.90930623455094E-08;13] = 0.000130069092371415
chui: [7.30984668780823E-08;13] = 0.000130073097735893
kích: [3.30451218719661E-08;13] = 0.000130033044791421
sách: [4.30581320679872E-08;13] = 0.000130043057701487
chợt: [8.31117758505355E-08;13] = 0.000130083110944733
phục: [2.10288949845232E-08;13] = 0.000130021028684696
chớ: [1.07143724713403E-07;12] = 0.000120107142653276
chụp: [5.70771181454739E-08;13] = 0.000130057076547374
phức: [4.30584993225706E-08;13] = 0.000130043058068738
chỗ: [5.207041240978E-08;12] = 0.000120052069891706
rịch: [2.40332566423024E-08;13] = 0.00013002403301631
chắc: [7.10956324520963E-08;13] = 0.000130071094921496
thức: [4.00540802597005E-08;13] = 0.000130040053679719
chưa: [6.50870939151242E-08;13] = 0.000130065086443044
xách: [4.10558639685395E-08;13] = 0.00013004105545341
hiệu: [6.40859583277971E-08;11] = 0.000110064085317468
chỉ: [3.40448406272017E-08;12] = 0.000120034044500179
chót: [3.70505537673924E-08;13] = 0.000130037050183262
chế: [3.10421681500534E-08;12] = 0.000120031041857728
dịch: [3.70499435695909E-08;13] = 0.00013003704957307
chôm: [1.80252720775481E-08;13] = 0.000130018025091825
chác: [2.6035920480767E-08;13] = 0.000130026035660122
chọn: [1.80249822691536E-08;13] = 0.000130018024802019
khóc: [2.50345566091095E-08;13] = 0.000130025034306264
nhạc: [1.80250719824633E-08;13] = 0.000130018024891732

**********************************************************************
